Disease,Province,Age_Group,Gender,Reported_Cases,Deaths,Hospitalized,Recovered,Month,Year,Season,Urban_Rural,Vaccinated,Travel_History,Comorbidity,Quarantined,ICU_Admission,Symptom_Fever,Symptom_Cough,Symptom_Rash,Contact_Tracing,Lab_Confirmed,Follow_Up,Days_Hospitalized,Region_Code
Rabies,Yunnan,65+,Male,23,0,1,1,1,2020,Winter,Rural,1,0,0,1,0,0,1,0,1,1,1,6,188
Typhoid,Sichuan,65+,Male,22,0,1,1,6,2020,Summer,Rural,1,0,0,0,0,0,1,1,1,1,0,23,394
Rabies,Sichuan,15-24,Male,23,0,1,1,7,2018,Summer,Rural,1,0,1,0,0,0,0,0,1,1,0,24,955
Syphilis,Shanghai,65+,Female,18,2,1,0,11,2022,Autumn,Urban,0,0,0,0,1,0,0,0,1,1,0,22,141
Chickenpox,Hunan,15-24,Female,16,0,1,1,8,2020,Summer,Urban,1,1,0,0,1,0,1,1,1,1,0,24,787
Typhoid,Shanghai,15-24,Female,27,0,0,1,12,2020,Winter,Urban,1,0,1,0,0,0,1,0,0,1,1,0,642
Syphilis,Shandong,15-24,Male,19,0,1,1,10,2018,Autumn,Urban,1,0,0,0,0,1,1,0,0,1,1,1,682
Malaria,Guangdong,45-64,Female,21,1,1,0,11,2020,Autumn,Urban,0,1,0,0,0,1,0,0,1,1,1,2,572
Chickenpox,Guangdong,45-64,Female,12,0,1,1,8,2022,Summer,Rural,1,1,1,0,0,0,0,1,1,1,1,21,569
Hepatitis B,Zhejiang,65+,Female,24,0,1,1,7,2020,Summer,Rural,0,1,1,0,0,0,0,0,1,1,0,21,174
Tuberculosis,Guangdong,45-64,Female,25,0,1,1,8,2018,Summer,Rural,1,0,1,0,0,1,1,0,0,1,1,22,892
Typhoid,Shanghai,65+,Male,22,0,1,1,11,2022,Autumn,Urban,1,0,0,1,0,1,0,0,1,1,1,1,487
Typhoid,Jiangsu,45-64,Male,21,1,0,0,9,2021,Autumn,Urban,1,0,1,1,0,0,0,0,1,1,1,0,828
Malaria,Shanghai,0-14,Male,12,0,1,1,7,2021,Summer,Rural,1,0,0,0,0,1,0,0,1,1,0,26,639
HIV/AIDS,Shanghai,65+,Female,20,1,1,0,3,2020,Spring,Rural,1,0,1,0,0,0,0,1,0,1,1,11,101
Dysentery,Henan,45-64,Female,20,0,0,0,9,2022,Autumn,Urban,1,0,0,0,0,0,0,0,1,1,1,0,637
Chickenpox,Yunnan,45-64,Female,19,1,1,0,1,2020,Winter,Rural,1,0,0,0,0,0,1,1,1,1,1,29,939
Malaria,Shandong,15-24,Male,26,0,1,1,8,2022,Summer,Urban,1,0,0,0,0,1,0,0,0,1,0,26,270
Measles,Guangdong,25-44,Female,21,0,1,1,6,2019,Summer,Rural,1,1,0,0,0,0,0,0,0,1,1,17,573
Mumps,Yunnan,65+,Male,19,1,1,0,11,2020,Autumn,Urban,1,0,0,0,0,0,1,0,0,1,1,24,521
Dysentery,Guangdong,25-44,Male,12,0,1,1,3,2020,Spring,Urban,1,0,0,0,0,1,0,0,0,1,0,18,632
Tuberculosis,Zhejiang,25-44,Female,12,1,0,0,9,2020,Autumn,Rural,1,0,0,0,0,1,1,0,0,0,1,0,917
Dysentery,Yunnan,65+,Male,22,0,1,1,6,2018,Summer,Rural,1,0,0,0,0,1,0,0,0,1,0,1,884
HIV/AIDS,Guangdong,45-64,Male,24,0,1,0,7,2022,Summer,Urban,0,0,0,0,0,1,1,0,0,1,0,27,385
Brucellosis,Shandong,65+,Female,23,0,0,1,11,2022,Autumn,Rural,1,0,0,0,0,1,0,0,0,1,1,0,854
COVID-19,Beijing,25-44,Male,10,0,1,1,2,2022,Winter,Rural,0,0,0,1,0,0,1,0,0,1,1,27,910
Dysentery,Sichuan,45-64,Male,15,0,1,1,1,2018,Winter,Rural,0,0,0,1,0,1,0,0,0,0,0,22,137
Tuberculosis,Sichuan,0-14,Female,19,0,1,1,1,2022,Winter,Urban,0,0,0,0,0,0,1,0,0,1,0,5,224
HIV/AIDS,Shandong,65+,Female,20,1,1,0,3,2020,Spring,Rural,1,0,0,0,1,1,0,0,1,1,0,23,414
Rabies,Henan,65+,Male,19,0,1,1,11,2021,Autumn,Rural,0,1,0,1,0,0,0,0,0,1,1,24,670
Typhoid,Beijing,45-64,Female,26,0,1,1,3,2019,Spring,Rural,0,0,0,0,0,0,0,0,0,1,1,2,143
Brucellosis,Zhejiang,0-14,Female,14,0,0,1,8,2022,Summer,Rural,0,0,0,0,0,1,0,1,0,1,1,0,431
Typhoid,Sichuan,45-64,Male,26,0,0,1,10,2018,Autumn,Urban,0,0,0,0,0,0,1,0,0,1,0,0,847
Mumps,Sichuan,15-24,Female,23,0,1,1,8,2022,Summer,Urban,0,0,0,1,0,0,1,0,0,1,1,19,264
Syphilis,Sichuan,65+,Male,24,1,1,0,1,2021,Winter,Rural,1,0,0,0,1,1,0,0,1,1,0,3,457
Brucellosis,Hunan,65+,Female,24,1,1,0,4,2022,Spring,Urban,0,0,0,0,0,1,0,1,1,1,1,7,914
Brucellosis,Shandong,25-44,Female,29,0,1,1,8,2018,Summer,Rural,1,0,0,0,0,0,0,0,0,0,0,25,862
Rabies,Shanghai,45-64,Male,19,0,0,1,10,2019,Autumn,Urban,0,0,0,0,0,0,0,0,0,1,1,0,611
Rabies,Zhejiang,25-44,Male,25,0,1,1,2,2021,Winter,Urban,0,0,0,0,1,0,0,1,1,0,1,28,810
Chickenpox,Sichuan,25-44,Female,15,0,0,1,7,2022,Summer,Rural,1,0,0,0,0,0,1,0,1,1,0,0,554
Scarlet Fever,Guangdong,0-14,Female,25,0,1,1,8,2019,Summer,Rural,0,0,0,0,0,1,1,0,0,1,0,19,318
Dysentery,Shandong,65+,Female,20,0,1,1,9,2022,Autumn,Rural,0,0,1,0,0,1,0,0,0,0,0,17,765
Brucellosis,Hunan,25-44,Female,25,0,1,0,7,2021,Summer,Urban,1,0,0,0,0,1,0,1,1,1,0,1,283
Typhoid,Shandong,0-14,Male,25,0,1,1,12,2018,Winter,Rural,1,0,0,1,0,1,0,0,0,1,1,26,482
Tuberculosis,Zhejiang,45-64,Female,15,1,0,0,9,2021,Autumn,Rural,0,0,0,0,0,0,0,0,0,1,1,0,398
Influenza,Hunan,25-44,Male,17,0,0,1,2,2020,Winter,Rural,1,0,0,1,0,1,1,1,0,1,0,0,502
Scarlet Fever,Zhejiang,65+,Male,10,0,1,0,11,2022,Autumn,Urban,1,0,0,0,0,1,1,0,0,0,1,18,761
Influenza,Shandong,25-44,Female,25,0,1,1,1,2019,Winter,Rural,0,1,0,1,0,0,1,0,1,0,0,9,540
HIV/AIDS,Zhejiang,25-44,Male,20,1,1,0,11,2021,Autumn,Urban,1,0,0,0,0,0,0,0,0,1,0,1,478
Typhoid,Hunan,65+,Female,19,0,1,1,12,2021,Winter,Rural,1,0,0,0,0,1,0,0,0,1,1,20,773
Typhoid,Hunan,0-14,Male,22,0,0,1,4,2021,Spring,Rural,1,0,0,0,0,1,0,0,1,1,0,0,661
Scarlet Fever,Zhejiang,65+,Male,15,1,1,0,1,2019,Winter,Rural,0,0,0,0,0,1,1,0,0,1,1,27,771
Brucellosis,Jiangsu,0-14,Female,19,0,1,1,7,2018,Summer,Rural,0,1,1,0,0,1,1,0,1,1,1,13,408
Mumps,Shandong,15-24,Female,21,1,0,0,8,2019,Summer,Urban,1,0,0,1,0,1,1,1,0,1,1,0,569
Scarlet Fever,Jiangsu,65+,Female,15,0,1,1,3,2018,Spring,Rural,1,1,0,1,0,1,0,0,0,0,0,3,150
Influenza,Henan,65+,Female,21,0,1,1,1,2021,Winter,Rural,1,1,0,0,0,1,1,1,0,1,1,10,375
Scarlet Fever,Shandong,45-64,Female,20,0,1,1,3,2020,Spring,Urban,0,1,0,1,0,1,0,0,0,1,1,1,959
Typhoid,Zhejiang,25-44,Female,22,0,1,1,2,2019,Winter,Urban,1,0,0,0,0,1,1,0,0,1,1,7,656
Mumps,Beijing,0-14,Female,17,0,1,1,6,2021,Summer,Rural,0,0,0,0,0,0,0,0,1,1,1,17,533
Dysentery,Zhejiang,0-14,Male,21,1,1,0,11,2019,Autumn,Rural,1,0,0,0,0,0,0,0,0,1,0,16,479
